arm,policy,field,action,pct
baseline,MCTS,timing,surgery_first,79.167
baseline,MCTS,timing,neoadjuvant,20.833
baseline,MCTS,surgery,MAST,52.635
baseline,MCTS,surgery,BCS,47.365
baseline,MCTS,chemo,none,68.87
baseline,MCTS,chemo,standard,18.875
baseline,MCTS,chemo,intensified,12.255
baseline,MCTS,endocrine,none,70.391
baseline,MCTS,endocrine,standard,16.542
baseline,MCTS,endocrine,extended,13.068
baseline,MCTS,radiation,none,72.146
baseline,MCTS,radiation,regional,15.016
baseline,MCTS,radiation,local,12.839
baseline,NCCN,timing,surgery_first,100.0
baseline,NCCN,surgery,BCS,62.5
baseline,NCCN,surgery,MAST,37.5
baseline,NCCN,chemo,standard,92.5
baseline,NCCN,chemo,none,7.5
baseline,NCCN,endocrine,standard,50.0
baseline,NCCN,endocrine,none,50.0
baseline,NCCN,radiation,local,62.5
baseline,NCCN,radiation,none,24.286
baseline,NCCN,radiation,regional,13.214
cost_off,MCTS,timing,surgery_first,55.208
cost_off,MCTS,timing,neoadjuvant,44.792
cost_off,MCTS,surgery,MAST,60.693
cost_off,MCTS,surgery,BCS,39.307
cost_off,MCTS,chemo,intensified,53.401
cost_off,MCTS,chemo,standard,26.995
cost_off,MCTS,chemo,none,19.604
cost_off,MCTS,endocrine,none,64.318
cost_off,MCTS,endocrine,standard,19.38
cost_off,MCTS,endocrine,extended,16.302
cost_off,MCTS,radiation,none,54.708
cost_off,MCTS,radiation,regional,30.464
cost_off,MCTS,radiation,local,14.828
cost_off,NCCN,timing,surgery_first,100.0
cost_off,NCCN,surgery,BCS,62.5
cost_off,NCCN,surgery,MAST,37.5
cost_off,NCCN,chemo,standard,92.5
cost_off,NCCN,chemo,none,7.5
cost_off,NCCN,endocrine,standard,50.0
cost_off,NCCN,endocrine,none,50.0
cost_off,NCCN,radiation,local,62.5
cost_off,NCCN,radiation,none,24.286
cost_off,NCCN,radiation,regional,13.214
benefit_off,MCTS,timing,surgery_first,82.917
benefit_off,MCTS,timing,neoadjuvant,17.083
benefit_off,MCTS,surgery,MAST,52.177
benefit_off,MCTS,surgery,BCS,47.823
benefit_off,MCTS,chemo,none,73.677
benefit_off,MCTS,chemo,standard,20.865
benefit_off,MCTS,chemo,intensified,5.458
benefit_off,MCTS,endocrine,none,69.797
benefit_off,MCTS,endocrine,standard,17.641
benefit_off,MCTS,endocrine,extended,12.562
benefit_off,MCTS,radiation,none,73.177
benefit_off,MCTS,radiation,regional,14.151
benefit_off,MCTS,radiation,local,12.672
benefit_off,NCCN,timing,surgery_first,100.0
benefit_off,NCCN,surgery,BCS,62.5
benefit_off,NCCN,surgery,MAST,37.5
benefit_off,NCCN,chemo,standard,92.5
benefit_off,NCCN,chemo,none,7.5
benefit_off,NCCN,endocrine,standard,50.0
benefit_off,NCCN,endocrine,none,50.0
benefit_off,NCCN,radiation,local,62.5
benefit_off,NCCN,radiation,none,24.286
benefit_off,NCCN,radiation,regional,13.214
both_off,MCTS,timing,surgery_first,59.583
both_off,MCTS,timing,neoadjuvant,40.417
both_off,MCTS,surgery,MAST,59.234
both_off,MCTS,surgery,BCS,40.766
both_off,MCTS,chemo,intensified,37.078
both_off,MCTS,chemo,standard,33.417
both_off,MCTS,chemo,none,29.505
both_off,MCTS,endocrine,none,65.307
both_off,MCTS,endocrine,standard,21.568
both_off,MCTS,endocrine,extended,13.125
both_off,MCTS,radiation,none,54.172
both_off,MCTS,radiation,regional,29.339
both_off,MCTS,radiation,local,16.49
both_off,NCCN,timing,surgery_first,100.0
both_off,NCCN,surgery,BCS,62.5
both_off,NCCN,surgery,MAST,37.5
both_off,NCCN,chemo,standard,92.5
both_off,NCCN,chemo,none,7.5
both_off,NCCN,endocrine,standard,50.0
both_off,NCCN,endocrine,none,50.0
both_off,NCCN,radiation,local,62.5
both_off,NCCN,radiation,none,24.286
both_off,NCCN,radiation,regional,13.214
