cohort,parameter,variant,gap_delta,abs_gap_delta,delta_standard_error,delta_z
A,reward.recurrence_free_year,recurrence_free_reward=1.0,-0.005569062500000002,0.005569062500000002,0.00273887283107458,-2.033341028767303
A,reward.acute_toxicity_penalty,toxicity_penalty=0.05,-0.004725833333333338,0.004725833333333338,0.00172619593906186,-2.737715473888612
A,hazard.response.major.death,major_response_death_hr=0.9,0.002711944444444444,0.002711944444444444,0.0017057280063673531,1.5899043893991076
A,response.intensified.major,intensified_major=0.5,-0.0010718055555555524,0.0010718055555555524,0.0027577722693617216,-0.38864904381811727
A,toxicity.chemo.intensified,intensified_toxicity=0.45,-0.0010116666666666546,0.0010116666666666546,0.002969386379604459,-0.3406988977976706
A,hazard.chemo.intensified.death,intensified_death_hr=0.85,0.0007176388888888869,0.0007176388888888869,0.0023887716302411596,0.3004217229490612
B,hazard.chemo.intensified.death,intensified_death_hr=1.0,-0.0066975000000000055,0.0066975000000000055,0.0027644370008770634,-2.4227356231576676
B,reward.acute_toxicity_penalty,toxicity_penalty=0.05,-0.00570138888888889,0.00570138888888889,0.0032382659893165876,-1.7606301976732082
B,reward.recurrence_free_year,recurrence_free_reward=0.25,0.0055697222222222285,0.0055697222222222285,0.0025069749228959536,2.2216904410788105
B,hazard.response.major.death,major_response_death_hr=0.9,-0.0030306944444444435,0.0030306944444444435,0.0022572241066048967,-1.342664397201981
B,toxicity.chemo.intensified,intensified_toxicity=0.45,-0.002793194444444449,0.002793194444444449,0.0032070015368992205,-0.8709676039460609
B,response.intensified.major,intensified_major=0.2,-0.002097222222222223,0.002097222222222223,0.002735201161307347,-0.7667524611680888
pooled,reward.recurrence_free_year,recurrence_free_reward=1.0,-0.005359305555555561,0.005359305555555561,0.0020092761630821194,-2.667281707724378
pooled,reward.acute_toxicity_penalty,toxicity_penalty=0.05,-0.005213611111111113,0.005213611111111113,0.0017475823888871101,-2.9833277928780393
pooled,hazard.chemo.intensified.death,intensified_death_hr=1.0,-0.0033750000000000013,0.0033750000000000013,0.0017828769623973299,-1.8930078020986019
pooled,toxicity.chemo.intensified,intensified_toxicity=0.45,-0.0019024305555555504,0.0019024305555555504,0.002319994397675004,-0.8200151506667784
pooled,response.intensified.major,intensified_major=0.5,-0.0012897222222222166,0.0012897222222222166,0.002655738892861926,-0.48563592817378315
pooled,hazard.response.major.death,major_response_death_hr=1.0,-0.0010529166666666619,0.0010529166666666619,0.002395981434816399,-0.4394510956414591
