cohort,variant,parameter,value,utility_gap,utility_gap_sd,standard_error
A,baseline,(none),-,0.03130208333333337,0.008197510342824026,0.0023664174015570966
A,intensified_major=0.2,response.intensified.major,0.2,0.031994583333333375,0.00699588241540706,0.0020195372978771176
A,intensified_major=0.5,response.intensified.major,0.5,0.030230277777777818,0.007223354757744423,0.0020852029069179535
A,intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.03201972222222226,0.006757973959482012,0.0019508590423417103
A,intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,0.031249583333333376,0.007584289321193895,0.00218939574060165
A,intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.031164722222222278,0.008344261072444821,0.0024087806881822665
A,intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,0.030290416666666722,0.0074627877209647335,0.0021543212498020114
A,toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.026576250000000034,0.006820086425479532,0.0019687893668235605
A,toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.034026805555555595,0.007493012315805622,0.0021630463387857786
A,major_response_death_hr=0.9,hazard.response.major.death,0.9,0.03401402777777782,0.006153789850523875,0.0017764461133681732
A,major_response_death_hr=1.0,hazard.response.major.death,1.0,0.031427916666666715,0.005042957291604752,0.001455776374909895
A,recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.035817833333333375,0.005465627832743509,0.0015777908502623882
A,recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.02573302083333337,0.005058548498759222,0.0014602771687337072
B,baseline,(none),-,0.03519527777777782,0.007062935007907532,0.0020388937140421227
B,intensified_major=0.2,response.intensified.major,0.2,0.03309805555555559,0.007526314906874491,0.0021726599687449406
B,intensified_major=0.5,response.intensified.major,0.5,0.033687638888888934,0.008511726772854252,0.0024571238717879737
B,intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.033970694444444484,0.008492763986504713,0.002451649786886228
B,intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,0.028497777777777802,0.007759108636629398,0.0022398617300147666
B,intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.03317194444444448,0.00842392198040714,0.002431776811510234
B,intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,0.03240208333333336,0.005781551429488292,0.0016689901370743657
B,toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.029493888888888927,0.007048261456720347,0.0020346578246781782
B,toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.03995611111111115,0.00845614020928327,0.0024410774130674572
B,major_response_death_hr=0.9,hazard.response.major.death,0.9,0.032164583333333364,0.005903283460811182,0.0017041311476010009
B,major_response_death_hr=1.0,hazard.response.major.death,1.0,0.032963611111111145,0.006845316943519789,0.0019760727900147283
B,recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.04076500000000004,0.006986197066684086,0.0020167413785309157
B,recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.03004572916666669,0.00592866877827402,0.0017114592575363176
pooled,baseline,(none),-,0.0332486805555556,0.005928456301899071,0.001711397920890181
pooled,intensified_major=0.2,response.intensified.major,0.2,0.032546319444444485,0.0038483256141623244,0.001110915914632975
pooled,intensified_major=0.5,response.intensified.major,0.5,0.03195895833333338,0.00687526453233039,0.0019847179142454185
pooled,intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.032995208333333366,0.006281807679148017,0.001813401677276783
pooled,intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,0.02987368055555559,0.005174142129381656,0.0014936461756119414
pooled,intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.032168333333333375,0.00721688943948972,0.002083336530300579
pooled,intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,0.03134625000000004,0.004081923032583957,0.0011783496808368404
pooled,toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.028035069444444477,0.0052721312925562884,0.0015219332104802114
pooled,toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.03699145833333337,0.005983815578660423,0.001727378767560336
pooled,major_response_death_hr=0.9,hazard.response.major.death,0.9,0.033089305555555594,0.004310988702150276,0.0012444752438299487
pooled,major_response_death_hr=1.0,hazard.response.major.death,1.0,0.03219576388888893,0.005047923258582397,0.00145720992609556
pooled,recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.03829141666666671,0.0044682969596588976,0.0012898862262391256
pooled,recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.027889375000000032,0.004493498981483238,0.0012971614232813284
