feature,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,p
age_z,-0.005917826757047989,0.9940996490897103,0.022413014571687578,-0.049846528102527064,0.03801087458843109,0.7917527274115232
tumor_z,0.04365203919048951,1.0446188052364964,0.022435732494669666,-0.000321188465838014,0.08762526684681704,0.051697030882564395
lymph_z,0.11204191166364279,1.1185597403622374,0.022160554435031062,0.06860802309354254,0.15547580023374302,4.2832884140001904e-07
tumor_missing,-0.0463861404754196,0.9546732530247363,0.22154727187516438,-0.48061081422384544,0.3878385332730062,0.8341566333293536
lymph_missing,0.029582422489095688,1.0300243291423068,0.11413903135980664,-0.19412596820641315,0.2532908131846045,0.7954972516393617
subtype_hrpos_her2pos,0.15348505240696167,1.1658903597372392,0.09134085939102134,-0.025539742316377317,0.33250984713030063,0.0928883028987542
subtype_hrneg_her2pos,0.0767936937489123,1.0798192799437432,0.08809784563267566,-0.09587491080670128,0.24946229830452588,0.3833794825480129
subtype_tnbc,0.002431057969890438,1.0024340153873825,0.06086680060583692,-0.11686567907173068,0.12172779501151154,0.9681404640153528
stage_0,-0.16417780903010373,0.8485911213006284,0.2977485746222302,-0.7477542917378116,0.4193986736776042,0.5813612385968026
stage_2,0.036271894206437026,1.036937745531275,0.04450934420226112,-0.05096481740549142,0.12350860581836548,0.415113738725189
stage_3,0.10887856932353647,1.115026943644309,0.09698087246020295,-0.08120044788773371,0.29895758653480664,0.2615730596041651
stage_4,0.6192637133464856,1.8575598416948529,0.323320305118205,-0.014432440155697446,1.2529598668486686,0.05545097073812783
stage_missing,-0.023091726630903628,0.9771728468892396,0.05024159891826707,-0.12156345103641363,0.07537999777460637,0.6457935315124135
grade_2,-0.0160655495173564,0.9840628130986613,0.04533823976419754,-0.10492686657762534,0.07279576754291253,0.7230775221228019
grade_3,0.06941649386719127,1.0718825487009342,0.044524632325561156,-0.01785018191579646,0.156683169650179,0.11898260188907434
grade_missing,-0.056398372987111256,0.9451625336594595,0.1058814587244662,-0.2639222187176293,0.15112547274340676,0.5942718687525859
menopause_post,-0.029154144343869984,0.9712667376531323,0.052822336409574525,-0.13268402128589485,0.07437573259815487,0.5809974521899368
surgery_mast,0.05340628761331494,1.05485813386222,0.04503412293156787,-0.034858971407907446,0.14167154663453732,0.2356589759420778
chemo,0.0702401751670238,1.0727658020216007,0.05559914980410607,-0.038732156020071296,0.1792125063541189,0.20646995498596826
hormone,-0.005188341387204772,0.9948250948087364,0.04593880540760707,-0.09522674547890851,0.08485006270449898,0.9100779045235388
radio,-0.005730596420418876,0.9942857921269203,0.04527354494935675,-0.09446511397361337,0.08300392113277563,0.8992750808306385
chemo_x_hrpos_her2neg,0.04119515894431397,1.0420554521443375,0.08346742518116271,-0.12239798829305654,0.20478830618168448,0.6216256173158725
chemo_x_her2pos,0.1045240080109529,1.110182046809013,0.09692356731458994,-0.08544269317878694,0.29449070920069276,0.28084777135324945
chemo_x_tnbc,0.04675955670600539,1.0478700254663833,0.0802938825251668,-0.11061356122221154,0.2041326746342223,0.5603274789193824
hormone_x_hrpos,-0.0198452380547412,0.9803503824992784,0.0453463223737606,-0.10872239673865483,0.06903192062917243,0.6616492921929076
radio_x_mast,0.0664107733403699,1.0686656063586946,0.051515221066586375,-0.034557204605758465,0.16737875128649826,0.19734644234968562
radio_x_stage3plus,0.1205936236645303,1.128166359090247,0.10194330091026195,-0.07921157458471242,0.320398821913773,0.23682975765052644
mast_x_stage3plus,0.2124099052187454,1.2366546924121276,0.10190162587980316,0.012686388528256515,0.4121334219092343,0.037118307465391825
mast_x_tumor,0.061414426351004386,1.063339498794318,0.0268315286392789,0.008825596567862734,0.11400325613414604,0.02208572544957453
