arm,estimator,risk_treated,risk_control,risk_difference,risk_ratio
hormone_er_positive,ipw_km,0.08484141759920372,0.13802396842583742,-0.0531825508266337,0.6146861198588883
hormone_er_positive,g_computation,0.08331270790427635,0.13338158726686397,-0.05006887936258762,0.6246192567613397
hormone_er_positive,aipw,0.08396291369523566,0.13238898834892143,-0.04842607465368577,0.6342137268542675
hormone_er_negative,ipw_km,0.27954013327480276,0.4028514442330654,-0.12331131095826264,0.6939037634753465
hormone_er_negative,g_computation,0.29033972296816624,0.40349573589315335,-0.11315601292498711,0.7195608209476814
hormone_er_negative,aipw,0.26332176654969514,0.40240576921901805,-0.13908400266932291,0.6543687657876907
chemo_with_surgery,ipw_km,0.2257363087355616,0.2596508923900658,-0.03391458365450417,0.8693839125977071
chemo_with_surgery,g_computation,0.21866537909881656,0.23922155371242,-0.02055617461360343,0.914070558047144
chemo_with_surgery,aipw,0.2325818218218279,0.2559221111294004,-0.02334028930757248,0.9087992467529659
radio_mastectomy,ipw_km,0.18468918240301535,0.24586540691379677,-0.06117622451078142,0.7511800245561568
radio_mastectomy,g_computation,0.184121110019408,0.2260201140795609,-0.0418990040601529,0.8146226753721392
radio_mastectomy,aipw,0.18765785678839336,0.2408214398178643,-0.05316358302947094,0.779240656190416
radio_conserving,ipw_km,0.08242755635266352,0.049361569260988,0.03306598709167552,1.6698730933136805
radio_conserving,g_computation,0.0768652174527315,0.07715059682156045,-0.0002853793688289419,0.9963010089281747
radio_conserving,aipw,0.07648617710971559,0.08004563574524375,-0.0035594586355281593,0.9555321336086751
