decision,population,covariate_spec,trimming,iterations,converged,eligible,n,retained_pct,worst_abs_smd,balanced_pct,effective_sample_size,max_weight,propensity_inside_bounds_pct,identifiable
chemo,전체,baseline,single_pass,1,False,1354,515,38.03545051698671,0.048188221182882025,100.0,309.4582642957141,6.8423686964299115,92.23300970873787,True
chemo,전체,baseline,iterated,4,True,1354,473,34.933530280649926,0.039218317480785636,100.0,307.91390659568714,5.366354644169842,100.0,True
hormone,전체,baseline,single_pass,1,False,1354,1205,88.99556868537665,0.05590850619910672,100.0,825.3897854632398,6.283938759514739,99.50207468879668,True
hormone,전체,baseline,iterated,4,True,1354,1194,88.18316100443131,0.06909653654208912,100.0,835.259626447373,5.806747057409579,100.0,True
hormone,ER 양성,baseline,single_pass,1,False,1041,842,80.8837656099904,1.4748014425535134,11.11111111111111,68.27701871737764,104.76839584813821,79.33491686460808,False
hormone,ER 양성,baseline,iterated,5,True,1041,567,54.46685878962536,0.03324789456550085,100.0,507.2052811998122,3.182767676544733,100.0,True
radio,전체,baseline,single_pass,1,False,1354,1304,96.30723781388478,0.08628998450165169,100.0,1171.0382863466725,4.772484462544817,97.23926380368098,True
radio,전체,baseline,iterated,5,True,1354,1205,88.99556868537665,0.040783992400112705,100.0,1119.782773953541,3.2235233962866854,100.0,True
radio,전절제 후,baseline,single_pass,1,False,767,697,90.87353324641461,0.28994600553524463,83.33333333333334,330.2416831902613,15.434299480297703,92.96987087517934,False
radio,전절제 후,baseline,iterated,6,True,767,584,76.14080834419818,0.02550566539160618,100.0,432.2227625339859,4.65098037869753,100.0,True
chemo,전체,baseline + surgery,single_pass,1,False,1341,501,37.360178970917225,0.04639212403219727,100.0,288.4296866852276,6.134946888963274,87.02594810379242,True
chemo,전체,baseline + surgery,iterated,5,True,1341,420,31.319910514541387,0.055927742561526474,100.0,278.3426903025644,5.885361703237806,100.0,True
hormone,전체,baseline + surgery,single_pass,1,False,1341,1198,89.33631618195376,0.06308918085491828,100.0,805.7606872321616,6.256176109547476,99.33222036727881,True
hormone,전체,baseline + surgery,iterated,7,True,1341,1144,85.30947054436987,0.07802809694965414,100.0,815.3223685830965,5.869519830293744,100.0,True
hormone,ER 양성,baseline + surgery,single_pass,1,False,1031,817,79.24345295829292,1.5751835766904472,10.0,77.10854918869641,94.1064681747056,81.02815177478581,False
hormone,ER 양성,baseline + surgery,iterated,5,True,1031,564,54.704170708050434,0.03211546149842222,100.0,499.54447832312576,3.40323701033277,100.0,True
radio,전체,baseline + surgery,single_pass,1,False,1341,923,68.82923191648024,0.23430799900955757,84.61538461538461,497.0620424662526,9.560919792421048,86.13217768147345,False
radio,전체,baseline + surgery,iterated,8,True,1341,730,54.43698732289336,0.030138832549937152,100.0,482.2402516822497,4.616668637403887,100.0,True
radio,전절제 후,baseline + surgery,single_pass,1,False,767,697,90.87353324641461,0.28994600553524463,83.33333333333334,330.2416831902613,15.434299480297703,92.96987087517934,False
radio,전절제 후,baseline + surgery,iterated,6,True,767,584,76.14080834419818,0.02550566539160618,100.0,432.2227625339859,4.65098037869753,100.0,True
