feature,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,p
age_z,0.41987970812271935,1.521778487017013,0.04361410049752075,0.33439764192946825,0.5053617743159705,6.140601892976074e-22
tumor_z,0.08708506819925335,1.0909894842816954,0.04905407190789264,-0.009059146035254234,0.18322928243376094,0.07585047029429591
lymph_z,0.2544672229719693,1.289774275682856,0.03737640763457907,0.18121081013670637,0.3277236358072322,9.880601852246134e-12
tumor_missing,-0.13016611509584777,0.8779495781284011,0.32804625464752685,-0.7731249594682557,0.5127927292765602,0.6915208829014616
lymph_missing,0.15127352031961763,1.1633148048072666,0.1748020812259911,-0.19133226330597006,0.4938793039452053,0.3868199112019677
subtype_hrpos_her2pos,0.26795683298439615,1.3072907069585755,0.13386013692873444,0.005595785638476569,0.5303178803303157,0.045309773953480265
subtype_hrneg_her2pos,0.2831826827879187,1.3273476232340686,0.1640342053401665,-0.03831845191145544,0.6046838174872928,0.08428201832070199
subtype_tnbc,0.12368457191576186,1.1316588577106277,0.11902768320313029,-0.10960540032561662,0.35697454415714036,0.29874687649408826
stage_0,-0.7734300325293931,0.46142763901681016,0.6381375269059896,-2.0241566024485924,0.47729653738980604,0.22550797175531087
stage_2,0.12060912901586221,1.1281838518416207,0.08220295370876073,-0.04050569967612208,0.28172395770784653,0.14231849643701114
stage_3,-0.11621354555693361,0.890285086572127,0.22999238963614896,-0.5669903459620887,0.3345632548482216,0.6133530555113731
stage_4,0.2811482765611576,1.324650003921459,0.44482273086149743,-0.590688255432131,1.152984808554446,0.5273570414731426
stage_missing,0.13496821088585287,1.1445004011191295,0.08832997499638956,-0.038155358862394156,0.3080917806340999,0.12651251240207625
grade_2,-0.023636926225915005,0.9766402378511683,0.0910128139390027,-0.20201876367800534,0.1547449112261753,0.7950875773992603
grade_3,0.1156042950952887,1.1225515850677639,0.09228303818562406,-0.06526713613246897,0.29647572632304636,0.21030964658104614
grade_missing,-0.05588355251283891,0.9456492479577955,0.16163471627242107,-0.3726817750581344,0.2609146700324566,0.7295382797603875
menopause_post,-0.04562932512439495,0.9553960378706724,0.10360690104900645,-0.24869511973025277,0.15743646948146284,0.6596415126399973
surgery_mast,0.10418192082882742,1.1098023327123394,0.09747185514998809,-0.08685940477145422,0.2952232464291091,0.28514129479195127
chemo,0.04907818132431015,1.0503024615675913,0.14587675513865256,-0.23683500492901716,0.3349913675776374,0.7365421610796193
hormone,-0.03539147878099079,0.9652274762088734,0.09780589613171284,-0.22708751267481336,0.15630455511283176,0.7174609527172481
radio,-0.12631016331591266,0.8813414446010354,0.09811727299255968,-0.31861648464261416,0.06599615801078884,0.19797625792773796
chemo_x_hrpos_her2neg,-0.06441287160272544,0.9376178038397617,0.1759221684704581,-0.4092139858870112,0.28038824268156026,0.7142575197624705
chemo_x_her2pos,0.24274769771637073,1.2747469619725638,0.20560200871684225,-0.16022483451773034,0.6457202299504718,0.23773466692123868
chemo_x_tnbc,0.0005728920817438937,1.0005730562157547,0.18275890189264393,-0.3576279734819273,0.3587737576454151,0.9974988851777046
hormone_x_hrpos,-0.04096741783267718,0.9598604037705939,0.10464282284522201,-0.24606358184991753,0.16412874618456316,0.6954294352584025
radio_x_mast,0.03656864222218932,1.0372455004102865,0.10968472149579132,-0.17840946156386794,0.2515467460082466,0.738834041624378
radio_x_stage3plus,-0.04532496922824105,0.9556868625428173,0.2188550270519769,-0.474272940085655,0.38362300162917295,0.8359314297898446
mast_x_stage3plus,0.3956986992265917,1.4854216914152647,0.2208215096894939,-0.037103506776578976,0.8285009052297623,0.07314272046058734
mast_x_tumor,0.11138194886974037,1.117821776092107,0.056482100086851034,0.0006790669283256862,0.22208483081115504,0.048611127428828525
