comparison,decision,n,agreement_pct
MCTS vs NCCN,surgery,284,69.36619718309859
MCTS vs NCCN,chemo,284,55.633802816901415
MCTS vs NCCN,hormone,284,100.0
MCTS vs NCCN,radio,284,89.7887323943662
MCTS vs NCCN,all_four,284,35.91549295774648
MCTS vs Actual,surgery,284,39.7887323943662
MCTS vs Actual,chemo,284,24.295774647887324
MCTS vs Actual,hormone,284,72.88732394366197
MCTS vs Actual,radio,284,63.38028169014085
MCTS vs Actual,all_four,284,6.690140845070422
NCCN vs Actual,surgery,284,54.929577464788736
NCCN vs Actual,chemo,284,36.971830985915496
NCCN vs Actual,hormone,284,72.88732394366197
NCCN vs Actual,radio,284,61.61971830985915
NCCN vs Actual,all_four,284,11.971830985915492
