arm,policy,field,action,pct
as_fitted,MCTS,timing,surgery_first,83.542
as_fitted,MCTS,timing,neoadjuvant,16.458
as_fitted,MCTS,surgery,BCS,58.49
as_fitted,MCTS,surgery,MAST,41.51
as_fitted,MCTS,chemo,none,76.328
as_fitted,MCTS,chemo,standard,14.036
as_fitted,MCTS,chemo,intensified,9.635
as_fitted,MCTS,endocrine,none,76.594
as_fitted,MCTS,endocrine,standard,14.094
as_fitted,MCTS,endocrine,extended,9.312
as_fitted,MCTS,radiation,none,59.927
as_fitted,MCTS,radiation,local,24.635
as_fitted,MCTS,radiation,regional,15.438
as_fitted,NCCN,timing,surgery_first,100.0
as_fitted,NCCN,surgery,BCS,62.5
as_fitted,NCCN,surgery,MAST,37.5
as_fitted,NCCN,chemo,standard,92.5
as_fitted,NCCN,chemo,none,7.5
as_fitted,NCCN,endocrine,standard,50.0
as_fitted,NCCN,endocrine,none,50.0
as_fitted,NCCN,radiation,local,62.5
as_fitted,NCCN,radiation,none,24.286
as_fitted,NCCN,radiation,regional,13.214
treatment_neutral,MCTS,timing,surgery_first,79.167
treatment_neutral,MCTS,timing,neoadjuvant,20.833
treatment_neutral,MCTS,surgery,MAST,52.635
treatment_neutral,MCTS,surgery,BCS,47.365
treatment_neutral,MCTS,chemo,none,68.87
treatment_neutral,MCTS,chemo,standard,18.875
treatment_neutral,MCTS,chemo,intensified,12.255
treatment_neutral,MCTS,endocrine,none,70.391
treatment_neutral,MCTS,endocrine,standard,16.542
treatment_neutral,MCTS,endocrine,extended,13.068
treatment_neutral,MCTS,radiation,none,72.146
treatment_neutral,MCTS,radiation,regional,15.016
treatment_neutral,MCTS,radiation,local,12.839
treatment_neutral,NCCN,timing,surgery_first,100.0
treatment_neutral,NCCN,surgery,BCS,62.5
treatment_neutral,NCCN,surgery,MAST,37.5
treatment_neutral,NCCN,chemo,standard,92.5
treatment_neutral,NCCN,chemo,none,7.5
treatment_neutral,NCCN,endocrine,standard,50.0
treatment_neutral,NCCN,endocrine,none,50.0
treatment_neutral,NCCN,radiation,local,62.5
treatment_neutral,NCCN,radiation,none,24.286
treatment_neutral,NCCN,radiation,regional,13.214
