feature,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,p,is_treatment_term
age_z,0.13982975780676116,1.150077990390789,0.021713057835778184,0.09727294645440071,0.1823865691591216,1.1955816913656353e-10,False
tumor_z,0.0678973894090226,1.0702554832966193,0.021599271519068236,0.02556359513934711,0.11023118367869808,0.0016693831921790767,False
lymph_z,0.09640106056802773,1.1012006235895984,0.021297383514922913,0.05465895591384176,0.1381431652222137,5.998919123112139e-06,False
tumor_missing,-0.18732072895204938,0.8291777524217081,0.23697059889313474,-0.6517745681774807,0.2771331102733819,0.42924698065979405,False
lymph_missing,0.027542569900412754,1.0279253728566187,0.11372646431712213,-0.1953572042502262,0.2504423440510517,0.8086386832286001,False
subtype_hrpos_her2pos,0.11052738880387206,1.116866938282739,0.08744376214409953,-0.06085923567125001,0.2819140132789941,0.20623629295620996,False
subtype_hrneg_her2pos,0.11912060478635206,1.1265057720838458,0.08528605569816455,-0.04803699276552753,0.28627820233823165,0.16249826342658066,False
subtype_tnbc,0.01564341270170301,1.0157664114184337,0.058906091934326374,-0.09981040595958204,0.13109723136298806,0.790574029449902,False
stage_0,-0.10407138696703352,0.90116096397692,0.2913710536220043,-0.6751481582036508,0.4670053842695837,0.7209584086871785,False
stage_2,0.049756135156712775,1.0510147595718915,0.04245009775285715,-0.033444527579091915,0.13295679789251746,0.24115335819258277,False
stage_3,0.1069469318933682,1.112875194732743,0.09335806101367934,-0.07603150535993623,0.2899253691466726,0.2519787125578645,False
stage_4,0.3136373948998968,1.3683934601290424,0.3344661945333883,-0.34190430043171177,0.9691790902315054,0.34838562570860887,False
stage_missing,0.06888870989525843,1.0713169755352898,0.047326365445821535,-0.023869261897732683,0.16164668168824953,0.14550058426806836,False
grade_2,-0.03319362426419786,0.9673512387828603,0.04330423211636615,-0.11806835959043824,0.05168111106204251,0.4433660735915784,False
grade_3,0.07199070639208861,1.0746453566848155,0.04275029641199981,-0.01179833490384291,0.15577974768802014,0.09218525262412412,False
grade_missing,0.011239555451465351,1.0113029565656373,0.10074892041487199,-0.18622470004297595,0.20870381094590665,0.9111722429915144,False
menopause_post,0.10748120766134599,1.1134699358458073,0.05212388027497333,0.005320279587920529,0.20964213573477145,0.03920450945681768,False
surgery_mast,0.08906270443448518,1.0931491994796891,0.04308719803479863,0.004613348091534866,0.17351206077743547,0.03873094783648392,True
chemo,0.041108402244991814,1.0419650507743177,0.05479115499003789,-0.06628028820683451,0.14849709269681813,0.4530894431458782,True
hormone,0.04537091272682981,1.0464159169177685,0.04444841765764245,-0.04174638505194358,0.1324882105056032,0.3073708688343889,True
radio,-0.0628115894892663,0.9391203971751599,0.043096377334079256,-0.14727893692820992,0.02165575794967735,0.14498724726335926,True
chemo_x_hrpos_her2neg,-0.040030622139281186,0.9607600181747665,0.08048324496810942,-0.19777488363569018,0.11771363935712781,0.6189222825368378,True
chemo_x_her2pos,0.1467242920674002,1.1580346396755032,0.09682412143611258,-0.04304749878211306,0.33649608291691346,0.12967893112990742,True
chemo_x_tnbc,0.030851381478416325,1.0313322174267858,0.07987754737130458,-0.12570573454273273,0.18740849749956537,0.699323775389125,True
hormone_x_hrpos,0.012338099761307958,1.0124145281176142,0.04398775955177703,-0.07387632472078277,0.09855252424339868,0.7791020659050943,True
radio_x_mast,0.04643691575748591,1.0475319942217347,0.05022615221259048,-0.05200453366121819,0.14487836517619002,0.3551966464915177,True
radio_x_stage3plus,0.1126867006204044,1.1192812079024563,0.09776406838616712,-0.07892735239859405,0.30430075363940284,0.24905849365419497,True
mast_x_stage3plus,0.17388966136649991,1.189924263959408,0.09870584439406738,-0.01957023870948693,0.36734956144248676,0.07812072522001907,True
mast_x_tumor,0.06996625738123531,1.0724719926300874,0.026404026773066396,0.01821531585919383,0.12171719890327679,0.008053160351880327,True
