n_patients,parameter,variant,gap_delta,abs_gap_delta,delta_standard_error,delta_z
8,reward.recurrence_free_year,recurrence_free_reward=1.0,-0.008693749999999991,0.008693749999999991,0.004869834158581429,-1.7852250645291912
8,reward.acute_toxicity_penalty,toxicity_penalty=0.05,-0.008587847222222224,0.008587847222222224,0.003711212332179274,-2.314027453443852
8,toxicity.chemo.intensified,intensified_toxicity=0.45,-0.007411458333333311,0.007411458333333311,0.0038799436981820645,-1.9101973919894575
8,hazard.response.major.death,major_response_death_hr=0.9,0.004625694444444453,0.004625694444444453,0.0033068755388546618,1.3988111708753832
8,response.intensified.major,intensified_major=0.5,-0.003623611111111097,0.003623611111111097,0.005511034455672092,-0.6575192262464604
8,hazard.chemo.intensified.death,intensified_death_hr=1.0,-0.0027420138888888724,0.0027420138888888724,0.004474606601101438,-0.6127944048117923
12,reward.acute_toxicity_penalty,toxicity_penalty=0.05,-0.00516805555555555,0.00516805555555555,0.002400276780262399,-2.1531081740459017
12,reward.recurrence_free_year,recurrence_free_reward=1.0,-0.004864583333333325,0.004864583333333325,0.0038234821116887,-1.2722913802739897
12,hazard.response.major.death,major_response_death_hr=0.9,0.0030666666666666668,0.0030666666666666668,0.002136201468799502,1.435569964470657
12,hazard.chemo.intensified.death,intensified_death_hr=0.85,0.0023037037037036997,0.0023037037037036997,0.003826985123353416,0.601963067388427
12,response.intensified.major,intensified_major=0.2,0.0017541666666666712,0.0017541666666666712,0.0028215972296544347,0.6216927945033128
12,toxicity.chemo.intensified,intensified_toxicity=0.15,-0.0015578703703703542,0.0015578703703703542,0.0038242421938040447,-0.4073670786056339
20,reward.recurrence_free_year,recurrence_free_reward=1.0,-0.005569062500000002,0.005569062500000002,0.00273887283107458,-2.033341028767303
20,reward.acute_toxicity_penalty,toxicity_penalty=0.05,-0.004725833333333338,0.004725833333333338,0.00172619593906186,-2.737715473888612
20,hazard.response.major.death,major_response_death_hr=0.9,0.002711944444444444,0.002711944444444444,0.0017057280063673531,1.5899043893991076
20,response.intensified.major,intensified_major=0.5,-0.0010718055555555524,0.0010718055555555524,0.0027577722693617216,-0.38864904381811727
20,toxicity.chemo.intensified,intensified_toxicity=0.45,-0.0010116666666666546,0.0010116666666666546,0.002969386379604459,-0.3406988977976706
20,hazard.chemo.intensified.death,intensified_death_hr=0.85,0.0007176388888888869,0.0007176388888888869,0.0023887716302411596,0.3004217229490612
