n_patients,variant,parameter,value,utility_gap,utility_gap_sd,standard_error
8,baseline,(none),-,0.030945833333333363,0.012915867766105201,0.0037284898657892244
8,intensified_major=0.2,response.intensified.major,0.2,0.030864236111111155,0.01281612833059005,0.0036996975708174775
8,intensified_major=0.5,response.intensified.major,0.5,0.027322222222222265,0.01598896797832131,0.004615617483174057
8,intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.03337881944444447,0.013859362657241536,0.004000853380477524
8,intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,0.02820381944444449,0.016547239773555197,0.004776776668803688
8,intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.02658993055555561,0.013380589606382678,0.0038626435055804744
8,intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,0.023534375000000055,0.014441610834689866,0.004168933951470006
8,toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.022357986111111144,0.017954930200148773,0.005183141892168418
8,toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.03248125000000005,0.010686988734891444,0.003085067911458037
8,major_response_death_hr=0.9,hazard.response.major.death,0.9,0.03557152777777783,0.006659610809992762,0.0019224640469237314
8,major_response_death_hr=1.0,hazard.response.major.death,1.0,0.030508680555555594,0.01173500069645287,0.0033876029055187554
8,recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.03081583333333338,0.010541253339603245,0.0030429977266079877
8,recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.02225208333333337,0.013745559221767909,0.003968001158424822
12,baseline,(none),-,0.031561805555555586,0.007474309922483811,0.0021576474228763597
12,intensified_major=0.2,response.intensified.major,0.2,0.03331597222222226,0.009219433611873204,0.0026614212387954393
12,intensified_major=0.5,response.intensified.major,0.5,0.029818750000000036,0.00987097714767325,0.0028495056566868976
12,intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.03386550925925929,0.010964611057790244,0.0031652105728873724
12,intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,0.030523379629629668,0.010565827568300037,0.003050091695384598
12,intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.030003935185185227,0.011170986240414089,0.00322478595650834
12,intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,0.03048009259259264,0.009038286722081675,0.002609128636003438
12,toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.026393750000000032,0.01332785209962605,0.0038474194987193097
12,toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.03539907407407411,0.006216074742463321,0.0017944262129320162
12,major_response_death_hr=0.9,hazard.response.major.death,0.9,0.03462847222222225,0.007046030228598453,0.0020340137245997785
12,major_response_death_hr=1.0,hazard.response.major.death,1.0,0.03199675925925929,0.0062717745088679755,0.0018105053504957793
12,recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.034825000000000036,0.007622395166928049,0.002200395950747806
12,recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.02669722222222226,0.012259577184556893,0.0035390350938274587
20,baseline,(none),-,0.03130208333333337,0.008197510342824026,0.0023664174015570966
20,intensified_major=0.2,response.intensified.major,0.2,0.031994583333333375,0.00699588241540706,0.0020195372978771176
20,intensified_major=0.5,response.intensified.major,0.5,0.030230277777777818,0.007223354757744423,0.0020852029069179535
20,intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.03201972222222226,0.006757973959482012,0.0019508590423417103
20,intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,0.031249583333333376,0.007584289321193895,0.00218939574060165
20,intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.031164722222222278,0.008344261072444821,0.0024087806881822665
20,intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,0.030290416666666722,0.0074627877209647335,0.0021543212498020114
20,toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.026576250000000034,0.006820086425479532,0.0019687893668235605
20,toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.034026805555555595,0.007493012315805622,0.0021630463387857786
20,major_response_death_hr=0.9,hazard.response.major.death,0.9,0.03401402777777782,0.006153789850523875,0.0017764461133681732
20,major_response_death_hr=1.0,hazard.response.major.death,1.0,0.031427916666666715,0.005042957291604752,0.001455776374909895
20,recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.035817833333333375,0.005465627832743509,0.0015777908502623882
20,recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.02573302083333337,0.005058548498759222,0.0014602771687337072
