budget,parameter,variant,gap_delta,abs_gap_delta,delta_standard_error,delta_z
256,toxicity.chemo.intensified,intensified_toxicity=0.45,-0.011488194444444442,0.011488194444444442,0.0041602271524963114,-2.7614344177218886
256,response.intensified.major,intensified_major=0.5,-0.007138194444444422,0.007138194444444422,0.005122825148123472,-1.3934097374100685
256,hazard.response.major.death,major_response_death_hr=0.9,-0.006453472222222219,0.006453472222222219,0.0021009833051251594,-3.071643742470278
256,reward.acute_toxicity_penalty,toxicity_penalty=0.05,-0.006436458333333349,0.006436458333333349,0.005313456046995422,-1.2113506306263597
256,hazard.chemo.intensified.death,intensified_death_hr=1.0,-0.0038013888888888867,0.0038013888888888867,0.0028862725653841293,-1.3170581789398557
256,reward.recurrence_free_year,recurrence_free_reward=1.0,-0.0036139756944444843,0.0036139756944444843,0.0032900098654980022,-1.0984695615486988
1024,reward.recurrence_free_year,recurrence_free_reward=1.0,-0.008693750000000047,0.008693750000000047,0.004869834158581439,-1.7852250645291992
1024,reward.acute_toxicity_penalty,toxicity_penalty=0.05,-0.00858784722222225,0.00858784722222225,0.003711212332179274,-2.314027453443859
1024,toxicity.chemo.intensified,intensified_toxicity=0.45,-0.007411458333333315,0.007411458333333315,0.0038799436981820637,-1.910197391989459
1024,hazard.response.major.death,major_response_death_hr=0.9,0.004625694444444449,0.004625694444444449,0.0033068755388546635,1.3988111708753812
1024,response.intensified.major,intensified_major=0.5,-0.0036236111111111005,0.0036236111111111005,0.0055110344556721005,-0.65751922624646
1024,hazard.chemo.intensified.death,intensified_death_hr=1.0,-0.0027420138888888854,0.0027420138888888854,0.0044746066011014515,-0.6127944048117933
