budget,variant,parameter,value,utility_gap,utility_gap_sd,standard_error
256,baseline,(none),-,0.01700277777777781,0.01782000921225676,0.005144193557829025
256,intensified_major=0.2,response.intensified.major,0.2,0.015580208333333345,0.014130154722809287,0.004079024316452502
256,intensified_major=0.5,response.intensified.major,0.5,0.00986458333333339,0.015573825642368299,0.004495776213466817
256,intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.02065381944444447,0.015535049007289336,0.004484582363116264
256,intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,0.013201388888888924,0.016080589078695032,0.004642066216656167
256,intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.017534375000000057,0.026062020598805274,0.0075234573041728986
256,intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,0.005514583333333369,0.0186711441548993,0.005389895051954709
256,toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.010566319444444463,0.01954426377217246,0.005641942974988411
256,toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.013592361111111126,0.021885226673942965,0.006317720755738475
256,major_response_death_hr=0.9,hazard.response.major.death,0.9,0.010549305555555591,0.01552364620975444,0.00448129065900312
256,major_response_death_hr=1.0,hazard.response.major.death,1.0,0.013676388888888938,0.014309850095801456,0.004130897902437081
256,recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.013639166666666674,0.020651229418975313,0.005961496432071058
256,recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.013388802083333326,0.011364694730839255,0.003280704781053983
1024,baseline,(none),-,0.030945833333333377,0.012915867766105236,0.0037284898657892343
1024,intensified_major=0.2,response.intensified.major,0.2,0.030864236111111165,0.012816128330590051,0.003699697570817478
1024,intensified_major=0.5,response.intensified.major,0.5,0.027322222222222275,0.015988967978321313,0.004615617483174059
1024,intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.033378819444444464,0.013859362657241513,0.004000853380477518
1024,intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,0.02820381944444449,0.016547239773555183,0.004776776668803684
1024,intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.026589930555555613,0.013380589606382725,0.003862643505580488
1024,intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,0.023534375000000062,0.014441610834689835,0.004168933951469996
1024,toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.022357986111111127,0.017954930200148767,0.005183141892168416
1024,toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.032481250000000066,0.010686988734891463,0.0030850679114580422
1024,major_response_death_hr=0.9,hazard.response.major.death,0.9,0.03557152777777783,0.0066596108099927645,0.0019224640469237323
1024,major_response_death_hr=1.0,hazard.response.major.death,1.0,0.0305086805555556,0.011735000696452882,0.003387602905518759
1024,recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.030815833333333365,0.010541253339603228,0.003042997726607983
1024,recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.02225208333333333,0.013745559221767902,0.003968001158424821
