variant,parameter,value,utility_gap,utility_gap_sd,neoadjuvant_rate_pct,intensified_rate_pct,toxicity_gap,gap_delta_vs_baseline,sign_flip
baseline,(none),-,-0.004312499999999941,0.008616258654105185,37.5,25.729166666666668,-0.00312499999999998,0.0,0
major_response_death_hr=1.0,hazard.response.major.death,1.0,-0.00299722222222217,0.007079362040335724,29.166666666666668,25.729166666666668,-0.01145833333333332,0.0013152777777777716,0
resp_intensified_major=0.2,response.intensified.major,0.2,-0.002461111111111062,0.0070906290042509834,45.833333333333336,37.395833333333336,0.009375000000000003,0.0018513888888888794,0
intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,-0.0024291666666666303,0.021642196117256082,33.333333333333336,24.583333333333332,-0.01979166666666667,0.001883333333333311,0
intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,-0.0017013888888888589,0.013388698419576557,41.666666666666664,28.541666666666668,0.030208333333333347,0.0026111111111110823,0
major_response_death_hr=0.9,hazard.response.major.death,0.9,-0.0015124999999999906,0.007259266109218175,37.5,34.0625,0.012500000000000039,0.002799999999999951,0
toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.0011666666666667231,0.004158477368914891,37.5,20.729166666666668,-0.03229166666666666,0.005479166666666664,1
recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.0017933333333334245,0.011390123279988427,37.5,16.666666666666668,-0.046875,0.006105833333333366,1
intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.0033708333333333598,0.008648690291020843,41.666666666666664,33.958333333333336,2.7755575615628914e-17,0.007683333333333301,1
resp_intensified_major=0.5,response.intensified.major,0.5,0.005508333333333337,0.024704794926513948,33.333333333333336,21.145833333333332,-0.016666666666666635,0.009820833333333279,1
intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.005529166666666733,0.008014896070928043,37.5,21.458333333333332,-0.07395833333333333,0.009841666666666676,1
toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.01028194444444445,0.015842839982266592,29.166666666666668,24.6875,-0.030208333333333337,0.01459444444444439,1
recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.015465625000000002,0.0065722747144254115,33.333333333333336,29.166666666666668,-0.003124999999999989,0.019778124999999945,1
