variant,parameter,value,utility_gap,utility_gap_sd,neoadjuvant_rate_pct,intensified_rate_pct,toxicity_gap,gap_delta_vs_baseline,sign_flip
intensified_toxicity=0.45,toxicity.chemo.intensified,0.45,-0.008809722222222241,0.0174569914626182,54.166666666666664,37.083333333333336,0.06145833333333336,-0.006672222222222227,0
intensified_death_hr=1.0,hazard.chemo.intensified.death,1.0,-0.005243055555555561,0.005390464403136457,37.5,24.583333333333332,-0.013541666666666683,-0.0031055555555555463,0
major_response_death_hr=0.9,hazard.response.major.death,0.9,-0.0042763888888888895,0.0091689223865992,29.166666666666668,29.270833333333332,-0.013541666666666638,-0.002138888888888875,0
major_response_death_hr=1.0,hazard.response.major.death,1.0,-0.0022027777777777016,0.0068626838334683036,33.333333333333336,34.0625,-0.009374999999999967,-6.527777777768718e-05,0
baseline,(none),-,-0.0021375000000000144,0.006223947088553214,33.333333333333336,29.895833333333332,-0.014583333333333318,0.0,0
resp_intensified_major=0.5,response.intensified.major,0.5,-0.0011180555555555527,0.01315687751428603,37.5,33.645833333333336,-0.009375000000000003,0.0010194444444444617,0
resp_intensified_major=0.2,response.intensified.major,0.2,0.00026111111111108237,0.015973766652383883,37.5,25.3125,-0.023958333333333314,0.0023986111111110966,1
toxicity_penalty=0.05,reward.acute_toxicity_penalty,0.05,0.0005527777777778464,0.009724590584545762,45.833333333333336,24.895833333333332,-0.0062500000000000056,0.002690277777777861,1
intensified_death_hr=0.85,hazard.chemo.intensified.death,0.85,0.0038055555555555434,0.0027788459751672875,41.666666666666664,46.979166666666664,0.020833333333333353,0.005943055555555557,1
recurrence_free_reward=1.0,reward.recurrence_free_year,1.0,0.0044520833333333565,0.007924546722381591,33.333333333333336,25.3125,-0.005208333333333297,0.006589583333333371,1
intensified_toxicity=0.15,toxicity.chemo.intensified,0.15,0.006909722222222266,0.013973678960950265,33.333333333333336,25.625,-0.05729166666666666,0.00904722222222228,1
toxicity_penalty=0.3,reward.acute_toxicity_penalty,0.3,0.007218055555555584,0.019314217531202018,33.333333333333336,28.229166666666668,-0.02291666666666668,0.0093555555555556,1
recurrence_free_reward=0.25,reward.recurrence_free_year,0.25,0.014241666666666744,0.014939954261420425,29.166666666666668,9.479166666666666,-0.07812499999999999,0.016379166666666757,1
